epoch,lr,train_loss,train_l_se,train_l_r,train_l_conv,train_l_dyn,train_l_sym,train_gnorm
1,0.001,0.10811993,0.10786126,0.0,0.025867715,2.079722e-14,4.3312623e-17,1.1755755
2,0.001,0.067329,0.06709773,0.0,0.02312694,0.0,0.0,0.7288651
3,0.001,0.05909029,0.058955416,0.0,0.013487789,0.0,0.0,0.26233214
4,0.001,0.05561283,0.055505898,0.0,0.010692825,0.0,0.0,0.5150835
5,0.001,0.053278085,0.05320849,0.0,0.006959217,0.0,0.0,0.2848817
6,0.001,0.052228063,0.052185733,0.0,0.004232064,0.0,0.0,0.23544227
7,0.001,0.05173667,0.051705435,0.0,0.0031240925,0.0,0.0,0.42201582
8,0.001,0.0520917,0.05207323,0.0,0.0018467037,0.0,0.0,0.6584083
9,0.001,0.04743952,0.04741716,0.0,0.0022357395,0.0,2.0513083e-16,0.3873383
10,0.001,0.04716013,0.04714111,0.0,0.0019019466,0.0,0.0,0.5614845
11,0.001,0.04340339,0.043379616,0.0,0.002377637,0.0,0.0,0.2683951
12,0.001,0.043055862,0.04303998,0.0,0.0015882504,0.0,0.0,0.42091826
13,0.001,0.04080942,0.040788017,0.0,0.0021400035,0.0,0.0,0.39292535
14,0.001,0.03728145,0.037225243,0.0,0.0056203622,0.0,0.0,0.41031396
15,0.001,0.036540933,0.036449734,0.0,0.009120028,0.0,0.0,0.32559204
16,0.001,0.038243074,0.038220696,0.0,0.0022380764,0.0,0.0,0.7269466
17,0.001,0.035780597,0.03495837,0.0,0.08222249,0.0,4.2557431e-16,0.6537942
18,0.001,0.039790522,0.034595408,0.0,0.5195114,0.0,0.0,0.85725564
19,0.001,0.04007509,0.033943098,0.0,0.61319935,0.0,0.0,0.7928049
20,0.001,0.034749072,0.033031818,0.0,0.17172569,0.0,0.0,0.51975846
21,0.001,0.03255981,0.032556687,0.0,0.00031224938,0.0,0.0,0.23974521
22,0.001,0.032295343,0.03229383,0.0,0.00015108344,0.0,0.0,0.45337597
23,0.001,0.030390112,0.03036253,0.0,0.0027581754,0.0,0.0,0.41507328
24,0.001,0.02733179,0.02725541,0.0,0.0076379958,0.0,0.0,0.25758263
25,0.001,0.027532347,0.027469622,0.0,0.006272308,0.0,0.0,0.26671526
26,0.001,0.028424004,0.02788247,0.0,0.054153312,0.0,5.3427953e-16,0.51785225
27,0.001,0.028553708,0.025374012,0.0,0.3179693,0.0,0.0,0.6385359
28,0.001,0.035802875,0.025901198,0.0,0.9901676,0.0,0.0,0.973159
29,0.001,0.037687756,0.030911094,0.0,0.6776667,0.0,0.0,1.0220863
30,0.001,0.030060574,0.029939441,0.0,0.012113389,0.0,0.0,0.3737255
31,0.001,0.030678384,0.03036091,0.0,0.031747453,0.0,0.0,0.53282684
32,0.001,0.028341234,0.02814216,0.0,0.019907737,0.0,0.0,0.3510431
33,0.001,0.026713053,0.026559426,0.0,0.015363045,0.0,0.0,0.3100717
34,0.001,0.027079334,0.02702494,0.0,0.005439351,0.0,5.4311504e-16,0.4202321
35,0.001,0.026011007,0.025900483,0.0,0.0110523505,0.0,0.0,0.47318766
36,0.001,0.025297964,0.025073545,0.0,0.02244216,0.0,0.0,0.3632251
37,0.001,0.023959866,0.023833334,0.0,0.012653296,0.0,0.0,0.32932845
38,0.001,0.02654027,0.02409377,0.0,0.24465,0.0,0.0,0.6058931
39,0.001,0.038437214,0.028062701,0.0,1.0374511,0.0,0.0,1.1226814
40,0.001,0.033614058,0.026819611,0.0,0.67944455,0.0,0.0,0.7577641
41,0.001,0.031512965,0.028431192,0.0,0.3081771,0.0,0.0,0.3586891
42,0.001,0.030446442,0.027239166,0.0,0.13979523,0.18093204,5.8302654e-16,0.61835593
43,0.001,0.02971562,0.028427435,0.0,0.12881844,0.0,0.0,0.41204575
44,0.001,0.029086208,0.028308734,0.0,0.07774757,0.0,0.0,0.33140418
45,0.001,0.027308995,0.027190575,0.0,0.011841987,0.0,0.0,0.23076649
46,0.001,0.02728877,0.027288584,0.0,1.8674953e-05,0.0,0.0,0.4568123
47,0.001,0.02775932,0.027734486,0.0,0.002483296,0.0,0.0,0.45095447
48,0.001,0.02519819,0.025017038,0.0,0.018114887,0.0,0.0,0.28786469
49,0.001,0.027560964,0.027407393,0.0,0.015356723,0.0,0.0,0.48905277
50,0.001,0.025526421,0.025076909,0.0,0.0449513,0.0,0.0,0.32255378
51,0.001,0.023618182,0.022995,0.0,0.062318485,0.0,6.8172626e-16,0.33527395
52,0.001,0.025486613,0.025224557,0.0,0.026205659,0.0,0.0,0.4164605
53,0.001,0.024738839,0.023859613,0.0,0.087922275,0.0,0.0,0.34260198
